EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Meteorological - Hydrological,Flood,"Kimberley, British Columbia",5/22/1948 12:00:00 AM,"Spring of 1948 was an exceptional flood year in western Canada. In the Kimberley region of British Columbia, a late spring had created a lingering snow pack. On the morning of May 22nd, rain began to fall in the region and by the evening it had reached torrential levels; 36.6 mm were recorded on May 22th alone. The water levels of Mark Creek began to rise, and in the early hours of May 23rd residents began to evacuate. A second rainstorm impacted the area just over a day later increasing the flood hazard; Mark Creek rose nearly 1 m on Monday morning. The water began to flow down the community's streets which created channels. As a result of the flood, 20 buildings were destroyed, another 50 were significantly damaged, and at least 3 businesses experienced significant property damage. Most of the bridges washed out and the community was effectively split into two. Hundreds of volunteers worked to clear obstructions, divert water, and fill 27,000 sandbags. As many as 100 homes were evacuated and the Red Cross aided in the relief efforts. In the coming years, the Mark Creek flume was constructed as a flood control solution.",,0,0,,,5/27/1948 12:00:00 AM,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Red Deer River AB,4/21/1948 12:00:00 AM,"Red Deer River AB, April 21, 1948. Hundreds of families from Newcastle, Wayne, Rosedale, and Drumheller were evacuated by the Canadian Red Cross when the Red Deer River flooded.",0,0,,,,4/21/1948 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Ontario,3/16/1948 12:00:00 AM,"Southern Ontario, March 16-22, 1948. Communities in the Lake St. Clair region, southwestern Ontario (on Maitland, Grand and Thames Rivers), southcentral Ontario (Toronto area) and in southwestern Ontario (the Rideau River) suffered from flood damages; transportation systems were closed due to flooding, and businesses were closed; dams were damaged on the Maitland and Thames Rivers and in Toronto.",0,0,0,,,3/16/1948 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Bristol NB,4/30/1947 12:00:00 AM,"Bristol NB, April 30, 1947. Heavy rains, mild temperatures and snowmelt contributed to a heavy runoff and overflow of the Saint John River, New Brunswick;  two people were killed in a train wreck near Bristol as a result of the track being undermined by the Saint John River.",2,0,100,,,4/30/1947 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern ON,4/5/1947 12:00:00 AM,"Southern ON, April 5-12, 1947. Widespread flooding occurred on several river systems (including the Thames, Grand, Rideau, Credit and Saugeen Rivers) as well as in the Lake St. Clair and Lake Nipissing regions. Several roads and railways were forced to close due to flooding; utilities and businesses were also disrupted.",0,0,0,,,4/12/1947 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Elgin NB,2/5/1947 12:00:00 AM,"Elgin NB, February 5, 1947. Rain, mild temperatures and ice jams caused flooding of large sections of Kings County and surrounding area, New Brunswick; two children were swept away and drowned in Sheffar Brook, near Elgin, Albert County.",2,0,0,,,2/5/1947 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Crowsnest Pass , Alberta",5/9/1942 12:00:00 AM,"On Saturday May 9th, a large rain event began in the Crowsnest Pass region. By May 15th, 145 mm had fallen; 105.4 mm on May 10-11th alone. The local waterways overflowed their banks. In Blairmore, Lyon Creek flooded the eastern and southern parts of the community. On Tuesday (May 12th) the bridge on the main street failed; and soon thereafter a second community bridge became impassable. In East Blairmore, roughly 100 families were evacuated and required shelter. Several creeks in the nearby community of Coleman also flooded causing damage and evacuations.",,0,0,,,5/15/1942 12:00:00 AM,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,"Burin Peninsula, St. John's and Little St. Lawrence NL",8/2/1941 12:00:00 AM,"Burin Peninsula, St. John's and Little St. Lawrence NL, August 2, 1941. Experienced the effects of flooding caused by torrential rains;  two employees of United Towns Electric Company were drowned when a dam broke; the total rainfall was reported to be 98.3 mm for a 66-hour period.",2,0,0,,,8/2/1941 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Ontario,4/26/1937 12:00:00 AM,"Southern Ontario, April 26-28, 1937. Especially on the Thames River in London; the river flooded leaving 4000 people homeless; roads and railways were flooded and businesses were closed.",0,0,4000,,,4/28/1937 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Ontario,1/13/1937 12:00:00 AM,"Southern Ontario, January 13-14, 1937. Widespread flooding caused damages and flooded roads and railways; flooding forced several businesses to close.",0,0,0,,,1/14/1937 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Skeena River, British Columbia",5/29/1936 12:00:00 AM,"During the last week of May, the temperatures soared to over 30 Celsius causing snowmelt and flooding conditions across BC, the Yukon and Alaska. The Skeena, Columbia and Thompson Rivers reached record levels. The Skeena River changed its course in several places including Terrace, BC, which led to severe erosion—for instance, one farm lost 4.8 ha in 3 days. The communities of Usk and Remo were significantly impacted. In Usk, the flood waters were 1.8-3 m high and only 3 buildings in the community were not damaged. In Remo, the water was 2.4 m, and only 1 house was not damaged. The Skeena River also carved new river channels including one through the community of Kispiox, and with it, 20 buildings. Several infrastructure was damaged including hundreds of meters of rail lines, at least 22 bridges, community powerhouses, 10 km of telephone and telegraph lines, kilometers of roadways and ferry infrastructure. Damage to roads, bridges and ferry infrastructure was $35,100 (CAD 1916); $21,305 alone was in the Terrace-Kitwanga area.",,,,,,6/3/1936 12:00:00 AM,,,,,,,,,0
Disaster,Natural,Meteorological - Hydrological,Flood,New Brunswick,3/16/1936 12:00:00 AM,"New Brunswick, March 16-25, 1936. Snowmelt, ice jams and heavy rainfall caused flooding across New Brunswick and resulted in severe damage; 22 ice jams were reported along the Saint John River basin, some extending 10 km upstream; a major ice jam formed on the Fredericton public wharf and across the Saint John River near the Fredericton Highway Bridge; 15 bridges were partially or completely destroyed; roads and railways were inundated; numerous homes, businesses and barns were flooded or destroyed; lumber mill stock and livestock were lost.",0,0,0,,,3/25/1936 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Ontario,3/10/1936 12:00:00 AM,"Southern Ontario, March 10-12, 1936. Widespread flooding caused damages and flooded roads and railways; flooding forced several businesses to close; several dams were also damaged.",0,0,0,,,3/12/1936 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Nova Scotia,1/10/1935 12:00:00 AM,"Nova Scotia, January 10-15, 1935.  Nova Scotia was hit hard by flooding caused by unusually high temperatures, torrential rains and ice jams.  Some rivers reached levels 8 to 14 metres higher than normal.  Dykes and highways were damaged, 25 bridges were destroyed, homes and businesses were inundated, homes were evacuated, roads were flooded and farm animals drowned.",,,2,,,1/15/1935 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Plaster Rock NB,4/16/1934 12:00:00 AM,"Plaster Rock NB, April 16-24, 1934. Continuous rainfall for several days, snowmelt and an ice jam 6.4 kilometres north of Plaster Rock, New Brunswick, contributed to extensive flood damage in the Saint John River Basin;  the counties of Sunbury and York were most affected.",0,0,0,,,4/24/1934 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern New Brunswick,10/25/1933 12:00:00 AM,"Southern New Brunswick, October 25, 1933. Heavy autumn rainfall in southern New Brunswick caused extensive damage to roads, dams and bridges; seven stream drivers were swept to their death in Saint John county by the northwest branch of the Big Salmon River while trapped on a sand bar.",7,0,0,,,10/25/1933 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,New Brunswick and Eastern Quebec,5/4/1933 12:00:00 AM,"New Brunswick and Eastern Quebec, May 4, 1933. Snowmelt, heavy rains and ice jams contributed to flooding throughout New Brunswick and Eastern Québec;  three lives were lost in Blue River, Tracey Brook (near Kedgwick), and Edmundston.",3,0,0,,,5/4/1933 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Calgary, Alberta",6/1/1932 12:00:00 AM,"On June 1st, a significant rain event occurred in southern Alberta; 79.2 mm of rain was recorded in Calgary alone. The next day, the water rose along the Elbow River and caused flooding. In Bragg Creek, the entire community was under 1 m of water in addition to 3 bridges being washed out and the post office being destroyed. In Calgary, both the Elbow and Bow Rivers flooded its banks. Several neighbourhoods were flooded including Elbow Park, Victoria Park, Sunnyside, and Hillhurst. However, the newly constructed Glenmore Reservoir and Dam was able to reduce the flood hazard to Calgary.",,0,0,,,6/7/1932 12:00:00 AM,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Ontario,4/5/1929 12:00:00 AM,"Southern Ontario, April 5-9, 1929. Widespread flooding caused damages and flooded roads and railways; flooding forced several businesses to close in communities along the Grand and Saugeen Rivers and in Metro Toronto.",0,0,0,,,4/9/1929 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Ontario,1/18/1929 12:00:00 AM,"Southern Ontario, January 18-20, 1929. Widespread flooding caused damages and flooded roads and railways; flooding forced several businesses to close.",0,0,0,,,1/20/1929 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Pike Lake SK,4/1/1928 12:00:00 AM,"Pike Lake SK, April 1928. The Canadian Red Cross assisted in the evacuation of 138 residents.",0,0,138,,,4/1/1928 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Rideau, Chaudière and Quyon Rivers QC",1/1/1928 12:00:00 AM,"Rideau, Chaudière and Quyon Rivers QC, 1928. Three people were killed by the flooding when these rivers overflowed their banks.",3,0,0,,,1/1/1928 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Dawson YT,5/7/1925 12:00:00 AM,"Dawson YT, May 7, 1925. Ice broke on the Klondike River on May 7, while ice broke on the Yukon River on May 9; an ice jam formed causing severe flooding up to 1.5 m high.",0,0,0,,,5/7/1925 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Crowsnest Pass , Alberta",5/30/1923 12:00:00 AM,"In late May of 1923, a significant amount of rain fell in the Crowsnest region. May recorded 115 mm and June recorded 148.5 mm of rain. Several communities in Crowsnest Pass were affected by the flood - notably the communities of Blairmore, Coleman, and a neighbourhood in Bellevue. The flood washed away railroad tracks, destroyed numerous bridges, and swept several homes and buildings off their foundations. It is reported that one individual (a child) drowned in the floodwaters.",1,0,0,,,6/15/1923 12:00:00 AM,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,4/29/1923 12:00:00 AM,"Saint John River basin NB, April 29 - May 9 1923. Snowmelt, ice jams and heavy rainfall caused flooding in New Brunswick; flooding occurred in the Saint John River basin as well as river basins in the northeast and southwest; the situation was worsened with the creation of log jams from the lumber industry along the rivers systems; 2 dead due to drowning.",2,0,0,,,5/9/1923 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,1/1/1923 12:00:00 AM,"Winnipeg MB, 1923. Severe flooding in the Winnipeg area of the Assiniboine River.",0,0,0,,,1/1/1923 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,6/17/1922 12:00:00 AM,"Saint John River basin and northeastern river basins NB, June 17-25, 1922.",0,0,0,,,6/25/1922 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southwestern Ontario,3/17/1920 12:00:00 AM,"Southwestern Ontario, March 17-21, 1920. Widespread flooding caused minor damages and flooded roads and railways.",0,0,0,,,3/21/1920 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Northwestern British Columbia,10/28/1917 12:00:00 AM,"Northwestern British Columbia, October 28 - November 19, 1917. Heavy rains caused major flooding along the Skeena and Nass rivers, and landslides also occured in many areas. Numerous bridges were damaged, and the Village of Aiyanish was 'wiped out': houses, crops, and provisions were washed away; cattle and horses drowned.",0,0,0,,,11/19/1917 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,4/24/1916 12:00:00 AM,"Winnipeg MB, April 24, 1916. Severe flooding in the Winnipeg area of the Red River.",0,0,0,,,4/24/1916 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Fernie, British Columbia",3/20/1916 12:00:00 AM,"In the spring of 1916, Fernie experienced one of its worst floods on record. The Elk River overtopped its banks and flooded the low-lying areas of the community. Several homes, businesses and community facilities were damaged in addition to critical infrastructure such as 4 bridges and the town's water pipeline. For the duration of the summer, water had to be supplied from a neighbouring reservoir. Roughly 50 families had to evacuate.",,0,0,,,6/21/1916 12:00:00 AM,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Northeastern New Brunswick,7/8/1915 12:00:00 AM,"Northeastern New Brunswick, July 8-9 1915.",0,0,0,,,7/9/1915 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,North Saskatchewan River AB and SK,1/1/1915 12:00:00 AM,"North Saskatchewan River AB and SK, 1915. The combination of rain in the foothills and snowmelt resulted in the highest recorded spring flows on the North Saskatchewan River; the cities of Edmonton AB, and Prince Albert SK were flooded. About 2000 residents in Edmonton were left homeless.",0,0,2000,,,1/1/1915 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Chester NB,1/4/1909 12:00:00 AM,"Chester NB, January 4, 1909. Mild weather caused ice to travel and possibly jam, creating floods which caused expensive damage to highway bridges and roads; a 9-year old child fell from a small bridge and drowned in a flood swollen stream near Chester.",1,0,0,,,1/4/1909 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Old Man River, Alberta",6/6/1908 12:00:00 AM,"In June of 1908, Old Man River in Alberta experienced one of its highest peak flows in history; caused by heavy rains and an already saturated ground because of snowmelt. On June 6th, the peak flow was estimated to be 200,000 cubic feet per second (cfs) , and 8 m (26.7 ft.) above normal river levels. Due to the floods of 1902, the river had widened, therefore the flood of 1908 had a higher volume of water but a slightly less height above normal. Regardless, the 1908 flood caused significant losses to several communities such as Lethbridge and McLeod, AB. This included a population dip in Lethbridge, significant damage to critical infrastructure  (e.g. damage to the new CPR bridge, viaduct, powerhouse, and hospital), and the destruction of many homes.",,,,,,6/6/1908 12:00:00 AM,,,,,,,,,0
